time,tx,cpu
1591693101613,3271,21.651577
1591693102615,5856,25.708470
1591693103615,8067,29.275270
1591693104621,10311,40.530835
1591693105622,13932,50.740391
1591693106624,18011,56.252957
1591693107626,19692,59.640978
1591693108628,19994,61.993428
1591693109630,20960,63.313797
1591693110634,21475,66.781358
1591693111639,22611,70.181596
1591693112641,23257,71.041437
1591693113643,24325,73.798645
1591693114645,25005,76.235893
1591693115648,26479,77.904257
1591693116654,26689,79.326117
1591693117658,27145,80.684673
1591693118658,27698,82.098009
1591693119662,28326,82.557959
1591693120664,28335,83.919211
1591693121666,28727,85.299655
1591693122680,30058,85.995352
1591693123683,29785,86.842939
1591693124685,30565,87.550513
1591693125699,31611,88.240670
1591693126718,31661,88.327775
1591693127722,31288,88.757947
1591693128724,31388,89.307584
1591693129725,31266,88.725038
1591693130745,31943,89.416232
1591693131747,31408,89.889415
1591693132749,31631,90.441176
1591693133753,31783,90.665021
1591693134765,32214,89.829985
1591693135767,31777,91.157731
1591693136768,32128,92.118072
1591693137771,32002,91.740551
1591693138773,32043,92.709467
1591693139777,32084,92.671320
1591693140778,32748,92.366294
1591693141780,32336,93.274446
1591693142782,32586,93.573304
1591693143784,32005,93.449850
1591693144785,32636,93.629977
1591693145788,32389,93.588753
1591693146790,31855,94.257022
1591693147791,32448,94.263182
1591693148795,32386,93.868071
1591693149797,32468,93.392829
1591693150801,32738,93.279185
1591693151805,31966,94.795887
1591693152806,33013,94.493978
1591693153807,32146,94.088748
1591693154809,32381,94.316581
1591693155811,32204,94.449641
1591693156814,31863,93.640180
1591693157816,32667,94.302524
1591693158817,32285,95.023474
1591693159820,32058,94.497421
1591693160823,32192,94.688040
1591693161825,32281,94.693620
1591693162827,32279,94.937707
1591693163829,32232,95.230909
1591693164873,33454,94.925047
1591693165876,31925,95.770952
1591693166878,32008,96.072602
1591693167880,32762,96.267838
1591693168882,32060,95.982423
1591693169884,32076,96.301476
1591693170888,32023,95.666458
1591693171890,32207,96.406906
1591693172892,31660,94.514571
1591693173894,31329,90.206832
1591693174896,30464,89.885166
1591693175898,30715,90.792358
1591693176899,30349,93.385335
1591693177903,30742,92.279987
1591693178905,30826,94.596283
1591693179906,31538,90.356361
1591693180907,30088,88.475315
1591693181908,29311,87.199623
1591693182910,29804,88.822699
1591693183912,29688,87.989352
1591693184914,28780,87.649277
1591693185915,29914,85.365084
1591693186917,28591,87.486364
1591693187929,28905,86.161961
1591693188932,29447,86.445971
1591693189936,28537,86.971183
1591693190961,29209,86.514196
1591693191963,29311,86.511773
1591693192964,28947,85.592820
1591693193965,28530,86.465094
1591693194967,28380,86.130244
1591693195969,28319,85.245121
1591693196970,28409,87.091733
1591693197973,29023,86.777999
1591693198999,28871,89.094743
1591693200046,30304,89.045553
1591693201055,29066,88.221884
1591693202094,29038,85.429110
1591693203096,28140,84.820031
1591693204097,28293,87.143305
1591693205100,27655,83.487824
1591693206102,28175,86.906452
1591693207105,27828,83.818412
1591693208108,28302,83.364691
1591693209112,26822,83.641202
1591693210114,27114,82.435413
1591693211115,27926,85.604396
1591693212116,27550,86.924035
1591693213118,27933,86.992376
1591693214119,28259,83.062864
1591693215120,27675,81.771079
1591693216124,26669,86.563670
1591693217128,27271,92.310087
1591693218129,29476,84.219635
1591693219130,27578,83.372772
1591693220131,26901,87.051605
1591693221132,27638,91.910499
1591693222134,28543,97.328125
1591693223137,31151,98.086794
1591693224139,30050,94.848579
1591693225142,29056,80.053150
1591693226144,26575,80.203922
1591693227145,26876,85.266803
1591693228146,26769,83.504353
1591693229151,26325,79.060298
1591693230154,26644,82.810794
1591693231155,26558,84.536892
1591693232156,26159,84.862745
1591693233157,26289,80.513784
1591693234159,26488,82.205905
1591693235159,26610,77.557085
1591693236161,25420,82.179931
1591693237163,26163,84.778872
1591693238174,25535,78.489378
1591693239179,26521,84.864446
1591693240186,25517,79.478725
1591693241187,26379,82.704403
1591693242193,25266,80.470477
1591693243193,26553,88.623131
1591693244194,26816,81.701355
1591693245323,28978,80.977147
1591693246325,26539,84.790155
1591693247326,25699,84.689524
1591693248327,27708,77.765574
1591693249328,25192,86.369327
1591693250330,25172,78.155493
1591693251331,25745,79.903110
1591693252335,25177,86.156019
1591693253336,25821,79.238808
1591693254338,25875,79.402149
1591693255347,25472,78.237129
1591693256349,24958,78.958921
1591693257351,24964,80.475516
1591693258353,24787,82.425004